,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,star
20231106,25,14,13,30,10,35,5
20231109,32,16,31,19,14,37,2
20231113,39,33,1,6,25,26,2
20231116,13,11,18,5,27,25,5
20231120,6,13,25,26,18,32,3
20231123,35,15,22,4,23,28,4
20231127,2,18,33,23,29,35,4
20231130,14,36,27,37,15,2,5
20231204,12,24,32,29,8,30,5
20231207,10,38,5,1,32,3,5
20231211,28,18,21,30,32,11,1
20231214,9,3,27,33,8,22,1
20231218,16,21,2,35,40,33,5
20231221,29,17,23,15,26,3,4
20231225,12,22,17,21,3,13,1
20231228,15,11,5,39,21,24,5
20240101,5,28,2,18,39,24,4
20240104,29,15,21,30,22,39,1
20240108,25,19,26,40,13,33,1
20240111,31,7,38,5,24,29,2
20240115,35,2,33,6,23,19,5
20240118,8,40,30,16,23,19,5
20240122,31,25,34,8,16,29,2
20240125,22,26,27,3,1,2,1
20240129,29,25,27,2,8,38,3
20240201,15,12,35,6,33,28,3
20240205,9,25,20,5,40,21,4
20240208,40,2,26,19,22,36,4
20240212,9,3,16,10,4,6,1
20240215,16,21,3,14,8,5,1
20240219,37,7,40,20,38,25,4
20240222,2,20,24,10,8,39,4
20240226,2,15,19,23,40,37,2
20240229,38,31,11,21,10,40,1
20240304,25,1,10,35,23,29,1
20240307,23,15,13,31,39,35,1
20240311,22,7,39,37,2,14,1
20240314,3,20,27,13,35,12,2
20240318,39,8,19,18,6,24,3
20240321,27,3,33,37,8,30,2
20240325,15,12,27,3,20,25,3
20240328,13,37,1,7,18,9,3
20240401,26,15,38,10,18,3,4
20240404,31,10,20,14,9,12,5
20240408,36,39,28,3,24,13,4
20240411,17,35,37,19,22,30,1
20240415,33,17,13,2,26,37,5
20240418,13,28,18,4,30,16,2
20240422,23,39,24,31,32,6,1
20240425,24,23,25,19,16,2,1
20240429,40,36,29,23,1,17,3
20240502,10,30,16,26,17,4,1
20240506,27,32,17,39,7,26,3
20240509,13,14,6,7,33,24,1
20240513,23,24,20,37,9,39,1
20240516,18,23,14,8,24,9,3
20240520,21,14,3,15,29,23,4
20240523,8,14,7,31,23,13,1
20240527,23,15,7,2,24,14,3
20240530,17,11,4,39,24,10,5
20240603,22,1,38,3,11,34,4
20240606,31,28,15,29,24,12,1
20240610,27,33,31,4,40,7,3
20240613,27,22,21,23,19,17,1
20240617,14,16,32,22,19,23,4
20240620,19,2,7,1,21,13,5
20240624,23,30,5,13,16,20,5
20240627,13,37,18,27,9,15,2
20240701,12,38,4,8,20,11,2
20240704,27,4,23,8,33,22,3
20240708,13,40,36,21,3,26,3
20240711,20,5,30,24,19,28,4
20240715,21,23,40,28,15,19,3
20240718,22,28,38,40,8,31,1
20240722,21,18,3,24,19,12,4
20240725,27,30,3,18,37,16,4
20240729,1,19,5,25,9,22,3
20240801,6,1,27,23,34,33,5
20240805,10,16,38,31,3,13,5
20240808,17,8,2,9,22,21,2
20240812,25,13,10,28,22,19,2
20240815,34,6,40,38,14,20,3
20240819,14,33,6,11,17,28,5
20240822,1,26,28,11,40,16,5
20240826,12,32,30,8,5,6,5
20240829,3,22,24,36,4,14,4
20240902,3,33,36,20,24,27,3
20240905,19,24,31,40,32,8,2
20240909,6,27,18,3,22,9,3
20240912,27,31,39,16,38,34,1
20240916,28,18,32,21,31,12,1
20240919,3,25,30,27,35,1,3
20240923,9,13,11,32,34,31,5
20240926,9,31,39,32,21,19,2
20240930,14,28,5,21,15,24,3
20241003,6,38,24,14,40,3,5
20241007,24,34,40,4,14,28,4
20241010,8,34,27,9,15,30,3
20241014,37,17,3,31,12,10,3
20241017,37,33,6,22,26,15,1
20241021,7,36,31,9,14,38,4
20241024,20,34,26,7,3,6,5
20241028,7,27,15,33,8,13,5
20241031,6,29,9,1,30,8,4
20241104,37,33,18,34,16,30,1
20241107,34,4,17,15,21,25,1
20241111,29,5,35,24,26,7,1
20241114,19,34,20,22,37,18,2
20241118,13,21,33,22,28,8,4
20241121,21,14,39,36,12,15,5
20241125,10,23,11,26,7,1,1
20241128,28,37,4,32,12,5,1
20241202,19,36,1,7,25,14,2
20241205,34,30,3,7,4,21,2
20241209,23,16,35,17,10,26,3
20241212,24,5,27,3,21,30,1
20241216,30,15,24,23,34,7,2
20241219,7,10,32,6,16,3,3
20241223,37,30,9,13,2,16,5
20241226,11,7,2,38,34,21,4
20241230,15,21,8,31,24,40,3
20250102,18,4,16,10,39,33,2
20250106,18,34,4,17,37,23,5
20250109,28,5,22,40,19,38,3
20250113,10,34,40,12,18,19,2
20250116,38,5,14,11,2,22,4
20250120,36,16,4,18,2,7,3
20250123,25,24,7,12,37,20,2
20250127,26,18,5,30,1,23,4
20250130,20,28,40,9,38,35,1
20250203,17,9,21,38,40,11,2
20250206,34,20,5,27,23,2,4
20250210,29,11,38,26,9,36,5
20250213,7,35,39,37,16,5,5
20250217,36,22,37,33,11,10,5
20250220,36,4,8,9,18,24,3
20250224,37,32,28,15,16,19,1
20250227,34,32,27,30,35,16,1
20250303,29,30,12,3,36,10,1
20250306,8,25,2,18,16,1,2
20250310,28,1,15,26,21,24,3
20250313,24,29,18,13,16,30,5
20250317,35,19,20,17,37,23,3
20250320,37,25,23,40,38,16,5
20250324,3,28,26,37,11,27,1
20250327,9,37,23,39,29,11,1
20250331,21,27,35,2,38,40,4
20250403,32,33,13,7,16,22,5
20250407,24,23,21,4,9,34,4
20250410,22,34,33,14,39,7,5
20250414,4,36,30,21,11,15,3
20250417,30,23,32,10,14,2,2
20250421,33,38,39,4,27,34,2
20250424,23,33,3,19,4,36,1
20250428,28,20,38,12,25,30,1
20250501,12,23,38,19,5,33,3
20250505,32,39,10,25,19,23,1
20250508,1,8,39,38,17,35,2
20250512,19,4,21,25,37,15,2
20250515,37,26,15,32,24,11,2
20250519,26,38,35,8,32,15,2
20250522,36,5,15,1,31,26,4
20250526,17,18,25,35,21,2,2
20250529,22,19,32,16,21,18,5
20250602,18,8,29,15,11,32,5
20250605,19,17,31,10,32,28,3
20250609,6,28,3,8,2,23,2
20250612,25,12,6,27,35,29,2
20250616,17,29,35,30,23,6,3
20250619,28,9,25,24,8,2,1
20250623,28,22,32,37,8,19,2
20250626,4,22,35,19,7,24,5
20250630,1,22,39,37,7,31,5
20250703,40,30,4,35,16,3,4
20250707,24,14,8,29,26,17,3
20250710,8,4,3,11,2,29,2
20250714,20,37,21,6,12,33,4
20250717,28,4,10,29,26,12,4
20250721,31,8,3,4,11,26,1
20250724,38,1,2,5,6,15,1
20250728,40,26,4,25,38,19,3
20250731,34,19,15,37,4,23,5
20250804,2,8,14,15,17,13,5
20250807,23,28,33,34,14,3,1
20250811,20,11,27,38,10,15,3
20250814,32,22,14,15,21,38,1
20250818,1,33,40,35,31,36,4
20250821,39,16,25,29,17,4,3
20250825,6,32,19,5,35,37,1
20250828,7,11,35,16,6,15,5
20250901,30,22,31,6,32,33,4
20250904,10,40,22,37,21,14,4
20250908,1,11,5,31,3,20,5
20250911,17,9,19,15,1,37,2
