,ball_1,ball_2,ball_3,ball_4,ball_5,star_1,star_2
20131004,50,35,6,24,20,5,10
20131008,23,24,33,42,26,5,3
20131011,6,17,23,12,43,5,9
20131015,39,18,27,43,47,7,4
20131018,25,36,47,46,5,2,6
20131022,39,33,29,44,41,9,11
20131025,2,31,38,3,10,6,10
20131029,32,9,10,30,37,6,2
20131101,19,33,29,30,7,3,8
20131105,35,38,12,13,6,2,3
20131108,35,20,42,43,28,8,10
20131112,29,48,40,37,14,11,2
20131115,13,42,3,15,29,4,1
20131119,45,14,19,36,15,1,10
20131122,40,26,13,25,50,8,9
20131126,44,27,23,42,19,5,3
20131129,10,23,7,2,43,4,7
20131203,32,6,29,15,13,2,9
20131206,18,31,36,2,1,7,10
20131210,49,50,24,6,35,7,1
20131213,24,22,23,1,31,6,11
20131217,41,6,8,37,27,7,10
20131220,13,22,17,43,12,10,3
20131224,5,31,43,50,19,6,2
20131227,1,22,6,13,28,10,5
20131231,29,45,24,20,13,7,3
20140103,3,44,27,38,31,3,8
20140107,2,45,20,27,33,6,10
20140110,1,27,2,11,29,10,1
20140114,25,18,20,26,37,11,10
20140117,26,19,33,42,32,10,4
20140121,4,42,35,48,12,5,8
20140124,19,41,35,34,5,1,5
20140128,18,23,48,20,42,2,9
20140131,10,15,31,8,16,8,9
20140204,37,1,33,21,38,8,4
20140207,17,19,47,3,46,9,10
20140211,47,25,8,17,41,1,2
20140214,19,39,4,2,6,2,7
20140218,36,37,26,23,49,6,7
20140221,28,13,17,30,32,5,7
20140225,42,21,25,28,35,6,4
20140228,38,44,32,12,43,2,7
20140304,3,22,5,27,44,6,1
20140307,38,10,40,5,41,1,8
20140311,1,4,44,33,23,8,7
20140314,30,24,6,27,25,9,5
20140318,27,36,34,8,39,5,10
20140321,37,7,39,30,42,7,5
20140325,28,50,26,7,20,8,2
20140328,3,43,19,28,4,3,7
20140401,44,38,18,16,26,10,8
20140404,50,45,28,6,10,10,11
20140408,42,11,29,18,49,11,4
20140411,8,33,30,12,19,4,11
20140415,14,50,47,26,3,7,11
20140418,21,47,31,39,24,3,7
20140422,20,46,15,24,13,8,1
20140425,13,49,44,21,24,9,1
20140429,35,26,18,23,44,3,11
20140502,30,42,4,31,38,11,2
20140506,37,5,19,31,24,9,1
20140509,45,28,3,26,21,10,7
20140513,47,34,13,30,4,6,2
20140516,26,23,37,29,40,4,3
20140520,38,5,36,33,47,4,9
20140523,31,3,47,8,34,11,9
20140527,16,13,26,25,7,1,6
20140530,27,41,24,45,5,7,6
20140603,2,39,32,15,44,5,10
20140606,34,40,25,7,49,9,11
20140610,12,18,21,33,32,1,11
20140613,16,22,28,46,18,11,9
20140617,48,13,37,40,11,8,9
20140620,5,38,49,15,25,1,2
20140624,20,1,7,21,48,4,7
20140627,39,34,45,33,31,2,10
20140701,39,25,18,22,27,5,10
20140704,47,18,43,39,4,6,2
20140708,24,18,22,8,27,11,4
20140711,38,35,5,49,22,7,4
20140715,18,27,15,34,20,1,3
20140718,1,41,43,11,29,3,11
20140722,1,43,50,45,24,5,8
20140725,10,24,9,12,43,5,9
20140729,40,23,35,10,43,9,3
20140801,50,44,46,48,24,10,5
20140805,5,21,42,7,19,11,5
20140808,29,21,35,46,43,1,9
20140812,22,19,7,16,33,5,2
20140815,4,21,30,5,23,10,8
20140819,11,34,47,4,7,7,8
20140822,29,17,49,35,4,1,2
20140826,36,48,45,10,22,11,4
20140829,32,38,26,9,2,3,6
20140902,39,45,25,31,5,8,1
20140905,18,50,23,46,1,9,3
20140909,15,35,19,8,24,10,8
20140912,31,9,33,26,13,7,11
20140916,4,30,35,50,29,4,2
20140919,6,34,8,38,48,9,3
20140923,13,35,14,29,12,1,7
20140926,46,35,47,13,27,1,2
20140930,33,13,15,3,42,5,7
20141003,13,23,50,48,4,10,5
20141007,38,30,21,9,28,8,1
20141010,29,42,47,45,6,9,10
20141014,15,23,32,4,5,7,3
20141017,49,13,48,1,40,8,10
20141021,40,33,27,20,21,3,10
20141024,42,20,3,30,9,6,1
20141028,45,17,40,10,15,1,2
20141031,10,41,13,20,33,9,3
20141104,1,13,6,26,17,3,5
20141107,32,13,38,46,25,10,1
20141111,46,14,36,2,21,11,7
20141114,36,32,38,48,17,8,5
20141118,3,2,36,38,17,11,4
20141121,28,32,7,37,4,5,10
20141125,32,7,36,3,25,1,6
20141128,10,23,6,41,15,10,4
20141202,15,25,3,49,44,9,1
20141205,5,8,48,47,37,3,2
20141209,31,1,3,42,46,11,4
20141212,28,2,15,31,37,4,6
20141216,13,7,3,25,12,5,8
20141219,39,44,23,29,31,5,8
20141223,49,25,9,19,8,10,2
20141226,26,45,27,49,17,2,3
20141230,6,18,39,50,44,11,8
20150102,24,25,49,28,22,3,6
20150106,20,38,30,14,49,4,3
20150109,6,32,45,21,24,1,11
20150113,34,31,21,8,17,10,9
20150116,34,32,29,30,46,6,3
20150120,33,47,15,41,44,10,8
20150123,30,45,29,38,6,8,1
20150127,10,33,5,31,40,10,8
20150130,9,24,15,13,19,3,8
20150203,50,44,17,31,33,11,7
20150206,50,30,10,26,39,8,7
20150210,30,45,20,13,17,9,10
20150213,24,12,39,44,42,3,11
20150217,5,2,18,43,30,10,1
20150220,37,46,10,4,14,4,7
20150224,3,28,25,34,50,1,11
20150227,17,25,14,5,47,10,9
20150303,6,21,13,8,11,8,7
20150306,47,30,49,50,23,7,2
20150310,31,30,2,6,23,10,2
20150313,4,5,22,18,23,3,1
20150317,11,23,44,38,26,8,1
20150320,3,14,42,48,37,1,10
20150324,40,10,39,24,26,3,10
20150327,30,39,32,44,2,10,6
20150331,8,28,20,24,49,8,9
20150403,39,37,49,29,27,4,2
20150407,39,25,50,44,18,8,5
20150410,25,43,22,23,30,5,9
20150414,49,34,32,24,35,2,1
20150417,39,2,34,24,30,11,8
20150421,14,42,17,6,45,8,1
20150424,31,5,40,29,19,3,10
20150428,36,24,28,26,45,10,7
20150501,19,26,20,25,3,6,10
20150505,1,17,10,42,20,9,8
20150508,14,19,49,7,47,10,3
20150512,29,30,14,46,40,3,6
20150515,47,42,44,5,35,9,8
20150519,35,37,31,26,30,11,8
20150522,18,44,35,24,45,5,11
20150526,6,24,7,21,5,6,5
20150529,4,20,48,45,3,8,6
20150602,23,7,41,29,37,1,8
20150605,8,7,2,48,45,9,1
20150609,5,34,17,9,32,8,6
20150612,11,10,37,5,8,9,7
20150616,15,10,36,16,37,3,9
20150619,7,14,20,31,42,9,3
20150623,16,38,4,22,49,6,9
20150626,10,19,6,3,24,5,7
20150630,11,28,15,34,37,1,8
20150703,11,18,44,15,12,3,9
20150707,7,41,33,18,6,10,3
20150710,35,8,15,5,41,5,4
20150714,34,18,36,19,6,1,8
20150717,21,48,22,1,43,9,7
20150721,14,29,44,27,20,10,7
20150724,21,46,2,9,35,2,11
20150728,36,23,49,43,32,8,7
20150731,34,21,16,50,40,6,9
20150804,50,15,39,10,45,10,9
20150807,1,5,21,44,39,4,11
20150811,2,16,3,15,8,4,11
20150814,45,4,44,7,39,3,5
20150818,7,10,19,12,11,2,9
20150821,47,4,16,18,43,10,6
20150825,31,33,50,27,42,5,2
20150828,11,34,30,29,31,4,7
20150901,6,27,45,19,21,8,1
20150904,27,8,45,9,50,8,10
20150908,42,14,40,39,16,1,4
20150911,19,50,10,29,18,9,1
20150915,44,8,15,17,49,5,8
20150918,39,34,33,7,29,8,7
20150922,27,14,23,29,26,7,10
20150925,14,37,30,13,23,8,2
20150929,14,49,26,11,29,3,9
20151002,21,35,7,32,18,11,2
20151006,22,32,29,11,20,1,8
20151009,43,42,47,40,1,9,11
20151013,26,15,12,47,29,11,3
20151016,28,43,7,48,29,3,10
20151020,21,19,30,45,17,8,10
20151023,25,7,32,39,30,2,8
20151027,11,20,25,36,12,9,6
20151030,34,13,17,8,21,6,7
20151103,39,27,49,8,46,2,6
20151106,26,40,38,17,3,4,10
20151110,43,39,13,6,18,2,8
20151113,33,10,18,40,17,8,2
20151117,6,37,23,38,7,11,10
20151120,34,49,30,46,4,8,7
20151124,26,14,17,9,16,10,11
20151127,50,16,30,37,29,6,8
20151201,35,15,45,25,2,10,8
20151204,17,27,18,39,8,7,1
20151208,48,29,12,38,17,9,11
20151211,43,5,21,3,40,11,6
20151215,11,27,35,8,23,4,11
20151218,22,6,26,29,48,5,6
20151222,19,41,18,40,20,7,10
20151225,10,27,40,3,25,9,3
20151229,5,36,32,31,20,6,7
20160101,44,37,38,39,4,4,7
20160105,36,10,6,39,31,6,10
20160108,35,33,26,40,5,3,8
20160112,2,10,30,44,1,1,8
20160115,43,38,19,10,46,1,11
20160119,2,30,38,43,46,7,2
20160122,27,10,30,47,12,9,8
20160126,15,40,24,48,38,2,9
20160129,29,32,23,1,5,1,7
20160202,36,21,10,6,9,6,2
20160205,46,32,27,3,41,4,8
20160209,9,6,13,28,37,4,5
20160212,31,49,28,20,3,5,2
20160216,3,22,50,10,37,6,10
20160219,32,13,14,39,30,3,9
20160223,42,32,23,25,37,11,1
20160226,13,50,5,33,15,9,11
20160301,37,7,28,13,4,11,10
20160304,9,23,40,16,14,1,5
20160308,9,14,23,8,1,7,1
20160311,26,43,1,21,40,9,6
20160315,7,10,5,44,34,10,2
20160318,14,49,21,19,24,5,11
20160322,15,49,12,26,42,5,8
20160325,43,36,12,42,19,8,5
20160329,4,25,19,36,1,3,11
20160401,23,25,2,49,16,6,9
20160405,3,19,40,9,5,5,2
20160408,43,8,49,6,26,10,6
20160412,9,1,5,22,38,10,2
20160415,13,32,37,14,48,1,7
20160419,27,14,44,15,11,7,2
20160422,32,43,26,34,17,2,10
20160426,10,42,17,32,31,2,5
20160429,4,25,28,5,43,6,11
20160503,23,34,8,24,38,3,7
20160506,45,48,40,34,32,10,1
20160510,40,2,26,27,49,10,5
20160513,31,28,42,15,7,10,11
20160517,32,27,39,36,15,3,10
20160520,41,9,30,14,45,4,9
20160524,37,17,34,16,23,9,6
20160527,46,27,13,43,25,4,8
20160531,6,30,26,48,12,6,7
20160603,7,31,39,23,33,6,10
20160607,26,49,19,45,35,2,5
20160610,21,35,42,14,43,7,9
20160614,13,50,42,39,34,11,9
20160617,43,1,18,27,7,8,4
20160621,32,35,17,49,5,5,1
20160624,11,19,39,28,27,3,10
20160628,43,37,32,26,49,5,4
20160701,11,50,13,40,2,10,1
20160705,38,29,10,48,1,4,3
20160708,12,18,8,44,33,8,4
20160712,26,3,41,33,7,2,10
20160715,2,11,14,13,21,1,8
20160719,24,37,19,28,36,6,3
20160722,26,45,24,7,37,9,5
20160726,13,49,10,45,3,11,2
20160729,40,26,50,1,21,4,2
20160802,27,46,38,2,8,2,6
20160805,19,16,24,37,35,2,7
20160809,19,43,44,12,45,10,5
20160812,15,50,36,2,28,11,2
20160816,34,37,46,26,2,4,8
20160819,22,6,5,25,34,7,5
20160823,2,31,45,37,23,8,4
20160826,48,9,30,28,1,7,8
20160830,29,42,13,16,35,6,8
20160902,50,40,16,32,8,2,11
20160906,45,12,34,24,30,7,10
20160909,28,4,11,17,15,1,3
20160913,44,16,4,7,35,3,1
20160916,32,5,22,8,14,2,11
20160920,45,41,4,1,10,9,6
20160923,14,39,42,49,16,9,3
20160927,41,6,13,39,9,2,12
20160930,35,44,17,37,43,10,2
20161004,4,38,7,14,34,4,11
20161007,12,30,27,20,2,11,9
20161011,12,37,20,24,5,4,11
20161014,31,34,19,7,13,11,1
20161018,2,25,17,21,27,9,6
20161021,48,9,23,20,44,10,8
20161025,28,15,21,3,20,5,1
20161028,23,43,10,19,16,8,2
20161101,10,20,6,37,29,9,1
20161104,7,11,12,48,44,7,3
20161108,49,47,9,50,5,9,8
20161111,38,49,3,22,23,9,2
20161115,42,7,15,36,48,3,7
20161118,32,27,12,47,3,8,6
20161122,47,10,5,33,34,10,2
20161125,28,23,5,11,17,10,11
20161129,38,27,21,28,26,11,9
20161202,23,32,6,11,31,2,12
20161206,27,1,7,11,45,9,4
20161209,6,40,37,28,12,1,5
20161213,28,50,48,29,14,8,2
20161216,45,10,6,30,41,11,4
20161220,15,27,13,21,17,3,2
20161223,46,39,16,20,4,5,2
20161227,32,22,39,25,3,7,12
20161230,10,22,29,47,8,1,3
20170103,34,27,49,23,19,11,1
20170106,21,14,49,10,18,9,11
20170110,44,29,35,11,2,4,9
20170113,16,7,50,3,26,4,7
20170117,43,4,25,16,47,10,2
20170120,17,10,27,49,31,3,5
20170124,5,1,23,17,7,3,8
20170127,28,45,20,17,48,9,5
20170131,4,17,44,23,3,6,9
20170203,3,4,50,46,15,9,5
20170207,44,38,4,31,10,10,8
20170210,43,26,7,35,21,9,2
20170214,44,40,24,2,10,3,10
20170217,25,19,33,36,48,2,9
20170221,19,41,49,13,45,4,3
20170224,13,2,43,22,4,8,9
20170228,35,31,10,42,20,2,12
20170303,47,2,11,29,30,12,1
20170307,6,37,50,41,48,5,4
20170310,38,49,31,47,36,8,11
20170314,21,5,44,36,3,3,6
20170317,19,29,36,6,10,9,3
20170321,47,23,20,44,1,11,4
20170324,2,21,17,27,34,5,9
20170328,33,13,46,9,31,6,10
20170331,24,26,45,17,28,4,12
20170404,24,33,9,1,34,2,6
20170407,35,10,2,50,19,7,6
20170411,22,5,31,49,21,8,2
20170414,33,20,4,14,23,6,10
20170418,22,17,45,38,31,12,5
20170421,2,13,22,49,16,4,5
20170425,11,9,32,19,43,3,9
20170428,20,25,30,39,14,8,2
20170502,27,25,19,6,23,12,11
20170505,7,43,30,3,35,1,3
20170509,26,22,16,12,8,7,6
20170512,2,28,29,44,20,3,9
20170516,20,8,30,11,15,3,8
20170519,30,12,9,19,11,9,4
20170523,15,8,42,25,27,1,4
20170526,36,5,39,7,26,2,10
20170530,27,48,38,12,7,9,6
20170602,8,42,33,24,10,9,3
20170606,25,40,20,22,37,7,3
20170609,9,39,27,20,43,11,10
20170613,12,3,22,27,49,11,4
20170616,38,42,15,17,41,9,12
20170620,44,43,11,18,26,8,10
20170623,4,31,21,3,38,3,7
20170627,45,17,21,9,28,1,3
20170630,35,50,39,17,47,6,8
20170704,22,25,10,37,49,8,5
20170707,45,37,20,35,11,3,6
20170711,50,26,42,22,14,8,10
20170714,21,14,20,47,11,10,7
20170718,41,27,1,45,25,7,5
20170721,8,1,26,49,9,9,5
20170725,14,44,43,48,12,11,2
20170728,41,9,31,5,29,4,2
20170801,29,24,21,30,14,10,8
20170804,29,30,41,40,36,9,2
20170808,26,15,40,25,41,4,5
20170811,39,48,28,46,18,12,5
20170815,14,30,46,10,35,4,10
20170818,39,42,24,45,2,2,8
20170822,10,12,17,3,27,3,5
20170825,15,7,1,47,5,9,12
20170829,4,12,32,15,38,1,5
20170901,8,7,3,14,49,5,8
20170905,28,18,29,6,9,9,1
20170908,42,47,24,49,9,1,5
20170912,35,17,29,10,27,4,11
20170915,44,49,13,18,37,9,12
20170919,45,21,1,8,30,3,2
20170922,6,31,39,42,11,3,1
20170926,40,29,1,48,41,12,6
20170929,18,32,7,48,19,3,7
20171003,32,6,50,24,48,1,5
20171006,15,1,9,25,19,1,7
20171010,36,4,37,21,34,6,3
20171013,23,37,50,29,45,5,11
20171017,19,26,17,13,36,2,3
20171020,4,27,23,30,17,3,8
20171024,27,9,33,13,11,10,7
20171027,39,23,16,32,3,1,4
20171031,46,12,43,36,1,3,5
20171103,41,5,33,17,12,4,9
20171107,37,19,41,20,7,12,2
20171110,37,36,29,22,13,1,9
20171114,16,40,39,41,14,8,10
20171117,35,36,26,42,20,5,12
20171121,31,28,10,2,14,7,5
20171124,28,24,50,19,30,10,3
20171128,42,1,12,6,18,2,7
20171201,5,46,29,35,24,11,12
20171205,48,11,44,43,36,2,7
20171208,34,32,22,30,4,4,3
20171212,39,20,37,50,44,4,8
20171215,25,42,30,50,31,11,2
20171219,15,38,46,8,30,4,7
20171222,5,30,24,31,43,3,6
20171226,30,4,17,44,43,10,2
20171229,4,48,8,22,23,1,12
20180102,20,10,21,48,28,1,8
20180105,41,38,20,5,2,4,8
20180109,6,49,38,12,15,9,2
20180112,45,30,21,13,23,6,4
20180116,46,34,31,20,23,3,12
20180119,44,3,17,50,8,2,7
20180123,5,23,8,9,24,7,8
20180126,28,15,24,48,6,9,4
20180130,11,15,35,27,21,5,4
20180202,36,39,34,14,48,2,3
20180206,8,28,17,38,34,6,12
20180209,38,22,31,44,36,11,1
20180213,13,44,10,21,17,10,1
20180216,23,32,50,12,10,10,4
20180220,6,25,14,19,29,11,5
20180223,18,17,28,47,10,3,7
20180227,48,31,3,41,50,11,8
20180302,2,7,34,48,45,1,12
20180306,26,44,20,31,15,2,9
20180309,44,9,14,21,32,12,1
20180313,11,9,13,33,49,12,6
20180316,31,4,27,24,17,11,10
20180320,44,39,29,26,37,9,11
20180323,46,5,50,7,11,11,8
20180327,46,40,20,23,17,9,10
20180330,35,47,28,17,12,7,11
20180403,43,3,40,16,8,8,5
20180406,45,47,29,33,1,4,8
20180410,48,14,39,46,27,11,12
20180413,48,50,34,25,5,7,6
20180417,39,15,33,27,50,6,4
20180420,44,39,3,25,16,11,7
20180424,28,44,30,23,20,3,7
20180427,24,40,12,41,46,5,12
20180501,48,42,15,17,6,4,6
20180504,23,6,12,45,39,12,9
20180508,17,35,25,39,44,5,2
20180511,22,34,3,50,49,11,8
20180515,20,16,4,31,39,2,12
20180518,8,31,5,10,13,6,3
20180522,48,11,1,37,41,8,12
20180525,13,16,15,41,28,4,5
20180529,20,43,6,38,11,4,2
20180601,29,17,40,24,18,4,5
20180605,39,46,9,22,15,5,4
20180608,43,46,8,32,19,8,2
20180612,36,38,23,21,7,6,8
20180615,26,23,49,33,38,1,12
20180619,26,7,19,50,42,9,4
20180622,44,39,41,14,25,8,2
20180626,20,34,16,15,50,7,4
20180629,15,21,40,23,48,3,12
20180703,15,29,12,48,1,5,3
20180706,30,8,48,33,38,10,2
20180710,3,33,26,8,45,10,7
20180713,49,14,4,1,21,2,12
20180717,4,50,6,27,48,1,11
20180720,15,2,43,40,46,3,6
20180724,40,23,2,4,39,3,9
20180727,17,23,11,22,41,11,6
20180731,25,34,20,42,45,6,11
20180803,26,38,36,43,7,12,6
20180807,30,29,28,36,16,10,8
20180810,43,44,20,18,36,9,3
20180814,31,1,15,25,18,9,11
20180817,18,24,2,43,15,8,12
20180821,43,16,49,23,42,12,10
20180824,31,36,50,14,3,12,1
20180828,42,46,4,16,32,12,8
20180831,4,42,30,38,31,4,6
20180904,47,5,28,30,14,11,4
20180907,50,31,27,4,23,1,8
20180911,32,18,9,38,46,2,3
20180914,45,40,33,1,3,4,3
20180918,10,32,45,8,3,4,12
20180921,5,7,37,25,21,3,4
20180925,38,6,20,30,15,4,7
20180928,4,8,50,2,27,2,9
20181002,45,29,37,7,17,11,3
20181005,16,8,26,35,24,11,3
20181009,3,45,44,12,36,11,8
20181012,31,4,12,43,9,8,5
20181016,15,28,42,37,40,1,6
20181019,1,3,47,29,48,12,3
20181023,32,2,1,5,21,12,2
20181026,5,31,18,21,35,6,9
20181030,44,27,23,17,43,1,12
20181102,15,37,5,17,44,11,7
20181106,14,36,24,43,40,2,9
20181109,49,17,37,32,14,11,12
20181113,10,7,13,2,42,6,3
20181116,9,10,28,41,13,12,1
20181120,6,48,19,45,39,7,12
20181123,25,30,5,26,8,3,10
20181127,17,16,4,32,18,11,2
20181130,3,10,26,23,12,12,1
20181204,21,19,45,20,42,8,9
20181207,17,11,37,48,26,1,10
20181211,4,13,7,42,23,1,3
20181214,29,12,38,44,42,12,2
20181218,1,18,39,48,9,7,5
20181221,12,2,34,50,15,4,3
20181225,8,4,43,31,5,9,2
20181228,34,16,35,45,13,10,12
20190101,11,25,8,28,1,4,6
20190104,19,7,11,37,27,10,6
20190108,19,32,31,3,22,2,11
20190111,19,48,31,39,1,6,1
20190115,33,22,35,25,29,3,6
20190118,5,16,46,6,30,5,10
20190122,29,49,41,9,23,8,10
20190125,15,16,13,6,1,6,10
20190129,39,14,24,32,26,8,3
20190201,3,41,26,46,21,6,1
20190205,31,43,14,25,37,2,3
20190208,46,12,13,39,11,7,10
20190212,34,36,50,41,6,1,5
20190215,49,38,27,34,15,2,10
20190219,19,8,18,1,39,9,7
20190222,50,33,29,3,27,7,3
20190226,29,47,15,3,35,4,3
20190301,9,19,26,31,6,12,11
20190305,16,10,46,39,6,8,11
20190308,40,17,24,19,18,8,4
20190312,5,13,7,19,31,9,2
20190315,46,24,42,15,3,12,9
20190319,9,6,1,47,34,12,7
20190322,17,43,26,4,30,11,6
20190326,47,43,19,23,12,2,6
20190329,13,23,26,47,32,6,10
20190402,9,26,16,2,36,6,7
20190405,7,45,10,1,29,5,3
20190409,38,41,18,29,21,1,11
20190412,46,28,1,35,36,6,9
20190416,1,49,15,8,44,2,11
20190419,32,49,8,7,41,11,5
20190423,23,44,18,27,42,7,2
20190426,33,35,50,47,14,11,9
20190430,20,26,12,48,5,2,11
20190503,2,20,27,43,9,5,6
20190507,32,20,47,7,26,2,11
20190510,1,45,27,4,48,7,1
20190514,14,25,50,10,17,2,10
20190517,42,16,28,43,45,6,7
20190521,47,32,34,33,39,12,8
20190524,5,30,49,23,16,7,6
20190528,28,7,29,19,20,1,5
20190531,1,26,23,35,24,11,1
20190604,31,32,9,39,41,8,2
20190607,34,16,4,1,20,2,5
20190611,27,46,42,25,39,11,12
20190614,30,1,39,13,31,2,7
20190618,44,40,12,37,24,3,7
20190621,9,8,39,25,5,3,7
20190625,27,34,6,26,46,1,9
20190628,1,33,3,49,16,2,11
20190702,19,44,11,29,45,12,8
20190705,20,2,42,34,9,9,6
20190709,32,7,41,36,29,7,6
20190712,2,31,39,45,47,8,4
20190716,5,13,18,39,3,8,7
20190719,26,17,13,14,28,7,2
20190723,38,19,23,1,14,7,3
20190726,27,2,42,5,37,10,3
20190730,15,27,23,40,20,3,6
20190802,33,44,13,22,50,5,2
20190806,38,12,29,36,13,4,12
20190809,35,41,14,2,42,11,10
20190813,31,13,33,29,40,2,3
20190816,9,42,10,27,37,1,5
20190820,23,24,22,20,37,1,4
20190823,4,17,42,45,35,8,2
20190827,26,8,35,47,43,9,1
20190830,45,49,27,46,25,6,4
20190903,44,11,38,7,39,10,7
20190906,13,22,40,10,48,5,2
20190910,3,30,49,25,22,3,6
20190913,12,1,42,47,27,6,7
20190917,22,45,43,44,37,1,12
20190920,25,50,21,38,8,4,8
20190924,2,48,33,47,42,1,2
