,ball_1,ball_2,ball_3,ball_4,ball_5,star_1,star_2
20190927,46,43,41,37,24,8,2
20191001,40,18,11,2,46,4,1
20191004,44,41,35,9,6,9,6
20191008,44,15,49,10,7,3,12
20191011,42,45,19,2,14,5,6
20191015,3,34,31,32,28,4,5
20191018,18,22,42,41,8,11,12
20191022,2,5,33,47,32,7,8
20191025,37,50,34,39,40,4,10
20191029,49,42,28,16,18,10,5
20191101,39,2,44,20,48,5,7
20191105,25,14,33,9,48,12,2
20191108,20,8,45,23,17,2,8
20191112,1,25,21,39,23,2,4
20191115,20,13,34,3,32,4,11
20191119,10,15,42,30,8,4,6
20191122,3,48,32,34,21,3,11
20191126,34,3,15,2,19,5,8
20191129,50,42,12,3,7,6,8
20191203,32,31,38,18,48,12,4
20191206,46,1,39,3,27,1,10
20191210,19,47,21,2,10,8,2
20191213,16,9,23,18,32,2,10
20191217,7,1,12,25,49,9,6
20191220,8,24,32,34,30,3,4
20191224,47,14,11,13,3,3,6
20191227,22,26,35,7,1,5,10
20191231,41,31,48,33,26,4,2
20200103,15,5,20,47,36,12,8
20200107,8,37,12,5,43,11,6
20200110,32,44,17,6,46,2,6
20200114,25,39,21,44,29,9,8
20200117,20,8,29,44,19,8,3
20200121,36,10,24,11,46,3,5
20200124,9,6,4,3,24,8,5
20200128,31,27,1,19,38,5,4
20200131,20,23,13,30,18,2,4
20200204,35,21,33,23,47,6,7
20200207,17,15,9,25,40,9,3
20200211,43,26,24,32,46,6,10
20200214,5,35,20,41,49,10,6
20200218,34,32,11,38,47,10,2
20200221,32,23,30,45,7,5,9
20200225,4,42,18,27,1,6,4
20200228,8,11,23,20,22,4,3
20200303,27,44,4,14,45,10,1
20200306,15,43,38,45,46,11,1
20200310,23,43,30,11,37,5,12
20200313,21,3,11,36,27,10,9
20200317,5,7,16,8,20,12,2
20200320,40,9,20,34,3,6,12
20200324,33,12,7,26,30,11,10
20200327,14,41,27,46,11,3,2
20200331,30,12,17,24,36,9,1
20200403,50,16,34,19,46,2,6
20200407,33,14,4,48,5,7,12
20200410,33,17,3,39,10,1,4
20200414,40,34,29,6,35,11,4
20200417,37,32,45,28,16,1,11
20200421,11,10,23,14,28,6,8
20200424,28,5,1,21,19,7,4
20200428,32,28,26,15,23,1,5
20200501,47,20,19,45,38,2,6
20200505,2,27,22,10,41,3,2
20200508,33,38,8,25,32,9,7
20200512,16,9,29,39,37,4,11
20200515,34,23,32,39,11,1,6
20200519,43,32,37,25,5,6,7
20200522,18,22,32,3,27,2,7
20200526,9,4,27,14,21,4,6
20200529,4,11,8,46,19,4,8
20200602,49,22,12,26,10,11,7
20200605,24,11,37,17,5,6,3
20200609,46,36,27,5,15,8,2
20200612,24,39,46,2,45,4,8
20200616,39,9,11,4,17,2,10
20200619,14,5,24,43,19,3,11
20200623,19,46,49,12,2,8,1
20200626,12,26,21,1,10,5,11
20200630,11,42,1,28,6,2,10
20200703,27,4,16,39,37,3,6
20200707,41,33,23,12,16,8,10
20200710,30,38,15,17,23,2,7
20200714,30,22,37,11,47,9,10
20200717,7,27,41,15,43,7,9
20200721,29,15,42,14,24,2,4
20200724,8,28,50,27,9,12,4
20200728,34,17,13,9,15,7,2
20200731,30,46,24,21,49,2,5
20200804,42,2,5,1,15,8,5
20200807,36,20,5,41,21,11,6
20200811,14,13,50,8,42,3,9
20200814,49,10,42,9,19,4,12
20200818,12,34,42,17,6,12,5
20200821,10,35,50,15,44,5,3
20200825,18,37,39,30,7,10,8
20200828,31,16,17,7,12,9,7
20200901,46,8,4,33,10,8,11
20200904,6,29,43,40,22,7,4
20200908,9,35,2,41,31,12,9
20200911,34,38,45,43,42,12,9
20200915,38,25,30,16,20,8,6
20200918,25,45,19,2,10,1,7
20200922,28,39,25,40,16,1,6
20200925,34,45,19,23,37,1,7
20200929,16,14,4,44,41,11,12
20201002,15,45,12,6,40,9,3
20201006,41,36,4,21,47,11,9
20201009,15,11,35,50,41,8,5
20201013,5,41,46,38,14,10,1
20201016,15,40,38,33,50,6,3
20201020,15,5,42,37,6,4,3
20201023,19,23,10,21,15,3,12
20201027,13,15,28,44,32,12,3
20201030,21,16,20,12,28,9,3
20201103,5,7,18,20,30,7,6
20201106,12,37,7,50,40,1,2
20201110,19,3,38,32,29,12,5
20201113,31,17,1,28,5,1,10
20201117,30,25,44,19,16,6,2
20201120,28,50,48,39,29,5,7
20201124,50,33,38,42,25,12,8
20201127,8,14,16,5,2,9,8
20201201,29,49,20,14,47,12,4
20201204,14,38,20,27,34,1,11
20201208,1,46,21,4,24,2,12
20201211,41,13,24,9,6,3,12
20201215,21,9,35,13,29,2,1
20201218,2,21,17,3,13,7,8
20201222,42,10,50,2,16,11,4
20201225,16,21,27,30,32,3,5
20201229,7,40,39,45,32,8,3
20210101,32,16,48,44,28,1,9
20210105,37,42,12,34,38,3,1
20210108,42,23,37,41,18,4,6
20210112,10,34,2,35,18,6,9
20210115,27,10,4,40,38,11,3
20210119,25,35,31,27,43,5,6
20210122,16,47,42,8,44,7,6
20210126,7,37,25,40,5,2,8
20210129,27,36,5,42,1,6,1
20210202,38,18,48,20,35,9,12
20210205,45,12,37,19,44,6,2
20210209,24,5,31,10,37,9,10
20210212,32,7,36,30,23,12,8
20210216,30,25,29,9,5,6,7
20210219,25,48,4,46,12,12,7
20210223,30,9,39,18,45,3,1
20210226,6,12,22,29,33,11,6
20210302,24,49,19,26,2,6,7
20210305,4,46,5,39,48,7,10
20210309,16,21,33,32,1,11,12
20210312,11,4,6,44,9,10,11
20210316,32,25,23,47,35,2,6
20210319,35,44,43,9,3,10,1
20210323,2,26,29,36,49,3,9
20210326,49,12,50,10,37,8,3
20210330,42,24,29,28,27,8,4
20210402,21,47,4,40,34,2,5
20210406,50,21,37,38,2,8,7
20210409,44,8,35,32,2,8,11
20210413,47,16,31,50,20,8,2
20210416,29,11,40,48,6,9,5
20210420,28,46,17,5,41,11,10
20210423,29,19,15,3,14,2,8
20210427,13,49,14,24,35,1,10
20210430,1,28,24,46,16,11,2
20210504,46,13,10,28,3,11,4
20210507,33,38,47,22,14,9,8
20210511,14,46,43,34,25,6,5
20210514,6,38,29,16,18,6,11
20210518,13,39,40,38,5,4,12
20210521,9,13,35,2,15,10,3
20210525,38,21,26,1,30,8,2
20210528,16,40,13,11,34,1,12
20210601,35,10,44,3,26,7,6
20210604,40,20,36,46,7,2,4
20210608,47,26,2,36,11,9,7
20210611,17,33,9,21,39,7,11
20210615,30,31,11,26,21,2,3
20210618,27,20,41,11,30,3,5
20210622,27,24,26,6,41,8,3
20210625,33,29,36,1,30,12,3
20210629,6,12,24,20,48,6,5
20210702,49,29,38,9,14,7,10
20210706,2,42,5,27,21,9,11
20210709,37,19,6,36,49,11,4
20210713,22,11,6,8,5,3,4
20210716,47,5,16,42,49,3,11
20210720,19,48,3,41,12,6,9
20210723,34,50,26,23,24,4,2
20210727,19,21,25,5,9,12,10
20210730,23,10,35,33,37,5,10
20210803,46,23,45,21,17,7,11
20210806,32,21,7,26,14,12,4
20210810,47,9,48,49,37,2,7
20210813,49,44,47,12,6,8,12
20210817,47,12,41,42,31,6,4
20210820,3,19,9,20,23,11,9
20210824,21,36,44,19,50,3,10
20210827,31,46,3,50,2,12,8
20210831,17,5,32,13,43,2,10
20210903,5,13,29,35,7,3,7
20210907,42,7,19,35,43,7,9
20210910,6,7,28,18,1,2,8
20210914,12,38,45,18,35,2,8
20210917,10,7,5,8,34,9,1
20210921,20,25,26,30,38,8,2
20210924,27,12,20,2,41,10,12
20210928,12,7,6,33,39,7,1
20211001,1,19,15,48,26,6,12
20211005,45,14,36,13,11,7,9
20211008,10,42,23,46,1,3,5
20211012,13,45,22,6,49,10,11
20211015,49,21,26,34,31,5,2
20211019,40,4,36,41,20,1,6
20211022,33,12,17,39,22,2,12
20211026,12,44,42,15,20,2,1
20211029,28,10,32,15,49,9,3
20211102,29,43,2,3,17,4,1
20211105,41,25,2,12,30,11,8
20211109,33,25,36,26,17,8,1
20211112,50,15,9,47,2,9,6
20211116,9,32,36,19,21,4,3
20211119,50,26,47,22,38,6,2
20211123,21,17,42,36,46,10,7
20211126,50,20,41,42,1,3,7
20211130,43,19,33,26,20,4,1
20211203,46,21,32,22,29,9,10
20211207,22,31,46,47,38,7,11
20211210,11,21,42,38,33,8,2
20211214,37,19,47,21,48,3,6
20211217,30,1,35,2,15,2,7
20211221,34,38,17,12,21,2,3
20211224,41,2,34,26,28,10,5
20211228,4,29,15,17,6,9,12
20211231,25,7,43,22,49,7,6
20220104,28,41,18,35,36,6,11
20220107,14,2,50,37,44,7,11
20220111,33,23,44,32,4,12,9
20220114,25,6,46,17,31,12,9
20220118,12,30,24,3,19,5,2
20220121,5,35,39,14,36,12,7
20220125,16,6,47,18,39,2,4
20220128,34,10,25,29,45,10,9
20220201,49,36,1,19,38,9,6
20220204,49,38,3,25,43,7,3
20220208,43,34,20,6,37,7,10
20220211,45,13,42,18,38,7,11
20220215,33,20,31,9,44,12,2
20220218,25,41,50,43,38,6,10
20220222,26,32,14,5,9,7,3
20220225,24,10,30,42,13,1,5
20220301,26,24,42,39,8,5,3
20220304,40,20,43,6,42,10,12
20220308,18,12,31,25,21,9,2
20220311,23,22,12,19,48,6,2
20220315,2,26,19,12,1,8,2
20220318,43,1,9,14,17,12,6
20220322,7,29,17,40,21,8,11
20220325,10,29,24,6,27,12,5
20220329,43,33,11,8,42,11,6
20220401,21,45,31,2,7,10,4
20220405,13,1,24,11,49,5,6
20220408,16,38,1,45,15,4,11
20220412,30,47,35,31,21,10,2
20220415,32,48,6,24,30,6,5
20220419,28,46,2,17,12,10,6
20220422,11,6,35,36,21,9,1
20220426,25,4,28,34,45,11,8
20220429,37,36,10,20,11,7,3
20220503,26,48,47,8,20,8,3
20220506,3,24,8,18,40,11,3
20220510,28,3,29,25,27,4,9
20220513,11,45,17,48,3,8,4
20220517,49,28,30,5,48,5,11
20220520,32,23,8,22,50,3,9
20220524,27,13,10,36,37,10,2
20220527,15,34,28,48,23,3,5
20220531,42,13,10,49,3,3,9
20220603,29,12,48,28,34,9,11
20220607,17,6,31,25,16,2,6
20220610,37,26,40,17,36,9,12
20220614,7,40,2,27,34,3,11
20220617,21,22,38,19,31,7,11
20220621,23,36,39,6,47,10,8
20220624,50,44,17,10,28,12,8
20220628,35,10,47,42,48,11,2
20220701,46,6,34,24,18,12,3
20220705,7,25,48,45,10,3,6
20220708,28,46,43,35,31,7,4
20220712,50,18,25,24,14,11,6
20220715,38,17,29,9,39,10,7
20220719,41,6,27,40,23,2,12
20220722,32,29,50,18,16,11,4
20220726,3,5,17,27,25,9,1
20220729,38,48,43,23,3,8,3
20220802,28,48,18,40,7,11,8
20220805,29,3,44,33,35,10,8
20220809,47,18,21,19,27,11,5
20220812,14,42,35,17,34,10,6
20220816,10,25,14,39,32,7,8
20220819,9,2,19,38,13,2,6
20220823,48,39,26,19,31,2,3
20220826,22,23,44,25,38,12,11
20220830,6,10,4,15,19,1,4
20220902,7,45,12,20,13,3,12
20220906,10,44,7,29,22,4,5
20220909,26,17,23,24,27,4,9
20220913,40,9,12,15,47,1,11
20220916,49,10,45,36,27,3,4
20220920,21,11,32,48,23,12,3
20220923,22,35,48,15,14,8,3
20220927,34,4,44,20,21,3,1
20220930,2,16,11,1,26,3,12
20221004,3,28,18,43,42,12,3
20221007,50,27,45,26,42,12,1
20221011,40,35,8,32,23,8,1
20221014,28,48,29,24,34,7,3
20221018,42,3,5,48,13,6,1
20221021,26,28,38,25,40,1,6
20221025,24,7,46,34,39,6,1
20221028,28,35,21,16,14,11,1
20221101,42,48,19,37,47,6,1
20221104,11,2,37,47,45,2,3
20221108,50,32,33,5,3,1,8
20221111,25,2,19,44,24,2,10
20221115,31,21,13,24,33,1,12
20221118,41,13,35,19,16,11,1
20221122,24,29,42,21,22,3,11
20221125,21,19,39,35,37,2,6
20221129,20,38,35,15,24,12,8
20221202,39,12,35,21,45,11,6
20221206,20,25,27,26,12,8,12
20221209,8,46,31,27,50,3,1
20221213,30,3,12,26,9,10,11
20221216,2,15,44,35,19,7,2
20221220,1,20,11,17,27,4,5
20221223,16,17,26,23,35,5,11
20221227,33,31,19,34,43,5,3
20221230,48,42,17,34,47,1,9
20230103,20,29,21,46,45,10,3
20230106,44,16,35,45,31,12,4
20230110,42,11,34,13,40,10,3
20230113,13,4,33,25,37,10,5
20230117,18,46,30,50,21,2,6
20230120,40,6,13,42,3,7,11
20230124,11,27,47,41,43,7,11
20230127,15,19,31,8,9,12,10
20230131,7,12,33,43,19,3,7
20230203,14,32,45,2,17,10,3
20230207,8,47,34,44,2,9,3
20230210,3,13,36,25,47,3,8
20230214,43,24,46,26,38,2,3
20230217,42,27,45,23,8,1,9
20230221,49,41,22,34,21,2,7
20230224,42,34,7,23,48,1,3
20230228,29,33,12,37,47,10,5
20230303,24,3,8,50,6,10,11
20230307,50,24,35,13,11,6,11
20230310,9,16,48,37,38,7,2
20230314,26,46,28,31,16,12,11
20230317,37,5,26,15,49,8,11
20230321,29,1,9,32,20,3,2
20230324,36,25,5,46,12,10,6
20230328,21,16,34,36,44,9,10
20230331,28,34,47,16,18,10,5
20230404,50,33,16,31,10,3,8
20230407,26,28,46,5,36,12,6
20230411,19,16,14,29,10,2,10
20230414,44,4,37,49,11,7,6
20230418,37,21,17,35,23,11,10
20230421,18,8,7,42,33,8,2
20230425,29,45,40,10,30,12,1
20230428,34,23,11,13,16,1,10
20230502,48,44,32,7,47,8,7
20230505,34,8,49,18,3,3,7
20230509,21,28,13,17,46,9,7
20230512,9,44,13,39,10,6,4
20230516,14,6,9,4,37,4,11
20230519,41,27,34,49,18,3,9
20230523,34,5,14,6,23,11,2
20230526,38,25,15,37,41,1,7
20230530,27,47,33,29,32,8,2
20230602,25,3,15,43,12,10,11
20230606,21,13,39,32,50,10,2
20230609,18,26,36,50,41,11,12
20230613,15,16,21,50,41,5,6
20230616,34,7,41,26,44,9,11
20230620,35,28,11,32,17,6,5
20230623,11,3,33,46,1,10,11
20230627,27,22,44,17,23,7,1
20230630,29,25,6,36,1,10,7
20230704,23,36,44,17,14,8,2
20230707,2,12,19,11,38,8,4
20230711,48,28,2,11,42,4,9
20230714,5,29,48,8,35,5,6
20230718,34,35,12,4,45,9,1
20230721,7,35,33,36,31,10,7
20230725,11,7,27,5,37,12,6
20230728,38,7,34,32,33,9,6
20230801,35,27,25,45,40,7,11
20230804,15,31,48,20,44,1,3
20230808,40,8,33,9,35,6,3
20230811,10,13,34,4,6,3,5
20230815,3,32,5,43,9,6,10
20230818,47,25,23,30,44,9,12
20230822,23,9,40,2,32,6,7
20230825,44,35,16,34,17,5,10
20230829,21,40,23,32,49,11,8
20230901,35,43,37,5,4,5,6
20230905,41,48,7,1,24,10,12
20230908,33,20,10,21,26,4,3
20230912,14,5,42,36,40,11,2
20230915,21,45,12,48,14,8,11
20230919,10,31,41,15,42,2,5
20230922,3,23,35,34,24,8,5
20230926,14,6,23,2,19,5,7
20230929,32,9,11,21,13,7,2
20231003,45,6,22,24,20,5,4
20231006,31,43,21,29,34,2,9
20231010,18,33,20,22,43,3,9
20231013,41,26,21,40,28,4,2
20231017,40,20,10,35,17,4,3
20231020,20,40,28,2,45,5,1
20231024,18,16,8,31,34,6,9
20231027,29,48,33,49,35,8,3
20231031,20,40,5,50,7,10,2
20231103,31,47,21,39,8,9,5
20231107,8,10,11,39,30,10,4
20231110,30,42,10,21,38,12,2
20231114,13,50,36,16,44,3,5
20231117,26,50,24,2,46,2,7
20231121,46,47,29,34,19,2,3
20231124,48,15,29,20,39,7,1
20231128,27,44,12,33,16,7,8
20231201,38,10,4,14,50,9,12
20231205,6,20,4,24,25,5,9
20231208,48,30,50,42,17,4,8
20231212,43,39,28,37,6,9,12
20231215,2,13,37,38,48,9,5
20231219,20,43,41,45,10,12,2
20231222,14,49,34,44,6,12,4
20231226,47,27,8,30,35,9,10
20231229,2,36,19,37,3,9,6
20240102,7,18,49,46,15,12,10
20240105,18,4,39,7,50,8,3
20240109,12,9,2,39,40,3,1
20240112,18,16,17,49,45,9,12
20240116,18,21,33,45,10,12,8
20240119,50,27,28,48,44,7,12
20240123,48,23,14,50,39,12,3
20240126,32,19,41,8,42,12,9
20240130,10,27,5,30,19,6,5
20240202,13,42,27,23,20,9,5
20240206,45,7,2,28,21,11,5
20240209,37,35,45,24,23,12,9
20240213,13,18,46,17,20,9,4
20240216,26,14,13,24,8,1,2
20240220,42,31,37,48,23,7,3
20240223,27,49,30,24,28,1,12
20240227,20,3,4,9,12,5,6
20240301,34,20,4,19,7,2,4
20240305,23,36,2,17,15,8,3
20240308,12,11,8,44,16,4,7
20240312,30,38,19,13,46,4,12
20240315,31,40,34,4,1,4,5
20240319,32,18,7,20,16,1,3
20240322,32,8,44,11,23,9,10
20240326,14,26,29,13,2,5,6
20240329,49,35,36,17,16,10,1
20240402,36,1,48,23,31,8,5
20240405,26,37,35,18,13,11,8
20240409,27,46,19,23,26,2,10
20240412,45,16,12,2,3,11,2
20240416,39,31,46,29,22,3,7
20240419,10,20,46,40,44,1,3
20240423,9,49,11,6,32,2,10
20240426,47,2,39,20,40,8,4
20240430,24,47,13,22,33,5,1
20240503,6,49,9,30,10,4,3
20240507,45,35,42,36,41,11,6
20240510,29,44,13,48,28,12,4
20240514,35,2,8,28,17,7,9
20240517,31,41,46,32,18,10,1
20240521,13,11,48,14,34,9,7
20240524,12,9,22,18,50,1,3
20240528,18,16,35,41,36,6,7
20240531,16,33,4,34,7,8,7
20240604,43,7,6,9,14,4,3
20240607,30,26,15,37,16,8,5
20240611,48,15,7,34,45,7,9
20240614,13,2,16,24,32,7,1
20240618,34,11,36,33,3,12,1
20240621,4,3,11,7,17,12,3
20240625,14,16,49,45,37,5,7
20240628,10,18,35,16,22,10,1
20240702,46,7,2,34,35,6,8
20240705,29,47,31,13,11,11,1
20240709,28,15,19,39,6,7,11
20240712,12,39,24,25,18,10,8
20240716,39,35,2,36,32,7,8
20240719,44,22,35,48,15,6,7
20240723,8,10,16,34,4,8,4
20240726,35,37,23,19,4,8,4
20240730,28,37,9,38,25,2,8
20240802,12,7,33,5,46,3,12
20240806,41,27,50,1,18,2,12
20240809,33,23,25,44,21,4,10
20240813,15,16,40,47,39,1,6
20240816,49,45,15,29,17,10,1
20240820,10,18,13,26,7,12,3
20240823,50,47,24,9,15,8,9
20240827,1,47,42,8,11,11,4
20240830,3,24,42,33,27,6,4
20240903,7,9,11,45,16,5,2
20240906,34,47,14,12,41,3,4
20240910,48,46,6,29,47,9,2
20240913,31,42,10,15,17,4,12
20240917,30,32,20,41,44,10,1
20240920,16,37,34,25,29,3,7
20240924,20,21,49,36,18,5,3
20240927,7,21,38,20,27,12,5
20241001,22,41,8,42,29,9,11
20241004,4,17,8,16,20,6,1
20241008,7,19,34,14,40,8,6
20241011,23,46,32,16,49,5,4
20241015,15,48,2,36,32,3,9
20241018,23,39,4,15,30,12,1
20241022,13,46,3,27,30,1,2
20241025,4,20,45,25,17,9,8
20241029,45,30,19,1,2,12,10
20241101,44,7,50,33,38,2,7
20241105,50,8,37,1,19,9,6
20241108,48,2,35,33,42,1,3
20241112,11,12,50,10,22,10,1
20241115,7,39,8,44,34,2,6
20241119,28,20,49,13,4,7,12
20241122,12,10,29,11,31,11,8
20241126,40,25,31,11,7,12,9
20241129,8,18,43,17,29,5,9
20241203,46,23,34,25,47,6,8
20241206,25,39,47,14,44,6,10
20241210,29,25,5,47,24,9,5
20241213,25,1,42,15,50,10,4
20241217,1,21,4,29,3,7,2
20241220,14,10,50,33,21,6,9
20241224,6,24,16,23,10,12,11
20241227,45,33,12,27,22,4,8
20241231,33,24,19,26,28,12,8
20250103,19,35,37,3,29,1,9
20250107,41,20,35,33,47,4,12
20250110,36,37,27,42,12,7,6
20250114,41,48,29,20,18,5,9
20250117,24,42,15,35,8,8,6
20250121,8,6,14,27,41,5,4
20250124,30,2,19,49,11,3,8
20250128,42,41,37,49,9,9,1
20250131,30,41,49,44,22,7,2
20250204,29,43,3,39,4,5,10
20250207,10,24,45,29,23,8,10
20250211,21,3,46,36,41,6,1
20250214,38,14,36,31,4,10,3
20250218,26,40,5,25,14,5,7
20250221,1,43,3,20,11,11,2
20250225,23,24,44,17,22,11,6
20250228,43,31,46,16,7,9,5
20250304,29,42,15,20,35,9,2
20250307,32,6,48,27,10,8,3
20250311,36,37,42,47,13,11,7
20250314,8,33,49,35,10,2,9
20250318,46,9,35,4,50,8,11
20250321,9,17,18,21,50,12,5
20250325,36,3,18,33,1,6,2
20250328,10,21,30,45,42,1,9
20250401,30,49,46,9,24,4,12
20250404,50,27,39,45,41,7,5
20250408,15,3,48,14,49,1,7
20250411,14,34,46,49,28,3,8
20250415,3,31,38,44,33,12,6
20250418,20,48,39,35,27,3,8
20250422,37,47,33,7,28,9,12
20250425,13,32,39,41,22,1,12
20250429,24,30,41,2,9,11,1
20250502,21,49,5,3,19,1,10
20250506,23,24,47,48,8,4,9
20250509,15,18,25,47,29,9,5
20250513,19,9,44,47,50,2,9
20250516,25,9,37,46,6,6,12
20250520,47,1,29,8,13,5,6
20250523,49,43,29,46,10,12,7
20250527,30,41,38,12,40,4,12
20250530,36,7,14,4,33,1,5
20250603,47,12,15,38,48,7,5
20250606,30,29,21,20,35,2,12
20250610,36,40,45,39,19,5,6
20250613,43,40,45,2,28,3,7
20250617,22,44,49,23,13,3,5
20250620,37,24,47,5,8,9,3
20250624,16,21,39,7,23,11,7
20250627,27,45,19,36,49,7,10
20250701,34,17,1,28,32,7,8
20250704,45,19,48,29,42,5,7
20250708,50,18,9,1,8,5,1
20250711,8,24,45,23,49,2,10
20250715,41,45,24,49,38,1,6
20250718,25,19,42,45,13,9,2
20250722,8,41,33,26,15,9,10
20250725,32,36,23,6,7,11,12
20250729,5,46,44,6,42,4,8
20250801,29,4,25,16,30,10,2
20250805,1,3,5,42,47,5,10
20250808,2,34,19,12,44,10,6
20250812,46,48,28,18,42,3,9
20250815,36,40,35,30,13,6,2
20250819,24,43,41,34,31,8,6
20250822,39,30,9,12,6,10,4
20250826,2,42,38,14,45,11,10
20250829,6,13,37,10,9,1,7
20250902,31,32,36,13,30,12,1
20250905,30,27,41,31,43,5,8
20250909,3,24,13,39,40,8,2
20250912,10,37,31,5,23,3,11
