,1,2,3,4,5,6,7,8,9,10
2016044__star,0,1,0,0,0,0,0,0,0,0
2016045__star,0,0,0,1,0,0,0,0,0,0
2016046__star,0,0,0,0,0,0,0,0,1,0
2016047__star,0,0,0,0,0,0,1,0,0,0
2016048__star,0,0,0,0,0,0,0,0,1,0
2016049__star,0,0,0,0,0,0,1,0,0,0
2016050__star,0,0,0,0,0,1,0,0,0,0
2016051__star,0,0,0,0,0,0,0,0,0,1
2016052__star,0,0,0,0,0,0,1,0,0,0
2016053__star,0,0,0,0,0,1,0,0,0,0
2016054__star,0,0,0,0,0,0,0,0,1,0
2016055__star,0,0,0,1,0,0,0,0,0,0
2016056__star,1,0,0,0,0,0,0,0,0,0
2016057__star,0,0,0,0,0,0,0,0,0,1
2016058__star,0,0,0,0,1,0,0,0,0,0
2016059__star,1,0,0,0,0,0,0,0,0,0
2016060__star,0,0,0,0,0,0,0,0,1,0
2016061__star,0,0,0,1,0,0,0,0,0,0
2016062__star,0,1,0,0,0,0,0,0,0,0
2016063__star,0,0,1,0,0,0,0,0,0,0
2016064__star,0,0,0,0,0,1,0,0,0,0
2016065__star,0,0,1,0,0,0,0,0,0,0
2016066__star,0,0,0,0,0,0,0,0,0,1
2016067__star,1,0,0,0,0,0,0,0,0,0
2016068__star,0,0,0,0,1,0,0,0,0,0
2016069__star,0,0,0,0,0,0,0,0,1,0
2016070__star,0,0,0,0,0,1,0,0,0,0
2016071__star,0,0,0,0,0,0,0,1,0,0
2016072__star,0,0,0,0,0,0,0,0,0,1
2016073__star,0,0,1,0,0,0,0,0,0,0
2016074__star,0,0,0,0,0,0,0,0,0,1
2016075__star,0,0,0,0,0,0,0,0,1,0
2016076__star,0,0,1,0,0,0,0,0,0,0
2016077__star,0,0,0,0,0,0,1,0,0,0
2016078__star,0,0,0,0,0,0,0,0,0,1
2016079__star,0,0,0,0,1,0,0,0,0,0
2016080__star,1,0,0,0,0,0,0,0,0,0
2016081__star,0,0,0,0,0,0,0,1,0,0
2016082__star,0,0,0,0,0,0,0,0,0,1
2016083__star,0,0,0,1,0,0,0,0,0,0
2016084__star,0,0,0,0,0,0,0,0,0,1
2016085__star,0,0,0,1,0,0,0,0,0,0
2016086__star,0,0,0,0,0,0,1,0,0,0
2016087__star,1,0,0,0,0,0,0,0,0,0
2016088__star,0,0,0,0,0,0,0,0,0,1
2016089__star,0,0,0,1,0,0,0,0,0,0
2016090__star,0,0,0,0,0,1,0,0,0,0
2016091__star,0,0,0,0,0,0,0,0,1,0
2016092__star,0,0,0,0,0,0,1,0,0,0
2016093__star,0,0,1,0,0,0,0,0,0,0
2016094__star,0,0,0,0,0,0,0,0,0,1
2016095__star,0,0,0,0,0,0,1,0,0,0
2016096__star,0,0,1,0,0,0,0,0,0,0
2016097__star,0,0,0,0,0,1,0,0,0,0
2016098__star,0,0,0,0,0,0,1,0,0,0
2016099__star,0,0,0,1,0,0,0,0,0,0
2016100__star,0,0,0,0,0,0,0,0,1,0
2016101__star,0,0,0,0,0,0,1,0,0,0
2016102__star,0,1,0,0,0,0,0,0,0,0
2016103__star,0,0,0,0,0,0,0,1,0,0
2016104__star,0,1,0,0,0,0,0,0,0,0
2016105__star,1,0,0,0,0,0,0,0,0,0
2016106__star,0,0,0,0,1,0,0,0,0,0
2016107__star,0,0,0,1,0,0,0,0,0,0
2016108__star,0,0,0,0,0,0,0,0,1,0
2016109__star,0,0,0,0,0,1,0,0,0,0
2016110__star,0,0,0,0,0,0,0,0,0,1
2016111__star,0,0,0,0,0,0,1,0,0,0
2016112__star,0,1,0,0,0,0,0,0,0,0
2016113__star,0,0,0,0,0,0,0,0,0,1
2016114__star,0,0,0,0,0,0,0,0,0,1
2016115__star,0,0,0,0,0,0,0,0,0,1
2016116__star,0,0,0,0,0,0,1,0,0,0
2016117__star,0,0,1,0,0,0,0,0,0,0
2016118__star,1,0,0,0,0,0,0,0,0,0
2016119__star,0,0,0,0,0,0,0,0,0,1
2016120__star,0,0,1,0,0,0,0,0,0,0
2016121__star,0,0,0,0,0,0,0,0,1,0
2016122__star,0,1,0,0,0,0,0,0,0,0
2016123__star,0,1,0,0,0,0,0,0,0,0
2016124__star,0,0,0,0,0,0,1,0,0,0
2016125__star,0,0,0,1,0,0,0,0,0,0
2016126__star,1,0,0,0,0,0,0,0,0,0
2016127__star,0,0,0,0,0,0,0,1,0,0
2016128__star,0,0,0,0,0,0,1,0,0,0
2016129__star,0,0,0,0,0,0,0,0,0,1
2016130__star,0,0,0,1,0,0,0,0,0,0
2016131__star,0,0,0,1,0,0,0,0,0,0
2016132__star,0,0,0,0,0,0,0,0,0,1
2016133__star,0,0,0,0,1,0,0,0,0,0
2016134__star,0,0,0,0,0,1,0,0,0,0
2016135__star,0,0,0,0,1,0,0,0,0,0
2016136__star,0,0,0,0,0,0,0,1,0,0
2016137__star,0,1,0,0,0,0,0,0,0,0
2016138__star,0,0,0,0,0,0,1,0,0,0
2016139__star,0,0,0,0,0,0,1,0,0,0
2016140__star,0,0,0,0,0,0,0,1,0,0
2016141__star,0,0,0,0,0,0,1,0,0,0
2016142__star,0,0,0,0,0,0,1,0,0,0
2016143__star,0,0,0,0,0,1,0,0,0,0
2016144__star,0,0,0,0,1,0,0,0,0,0
2016145__star,0,0,0,0,0,0,1,0,0,0
2016146__star,0,0,0,1,0,0,0,0,0,0
2016147__star,0,0,1,0,0,0,0,0,0,0
2016148__star,0,0,0,0,0,0,0,0,1,0
2016149__star,0,0,0,0,0,1,0,0,0,0
2016150__star,0,0,0,0,0,0,1,0,0,0
2016151__star,0,0,0,0,1,0,0,0,0,0
2016152__star,0,0,0,0,0,0,1,0,0,0
2016153__star,0,0,0,0,0,1,0,0,0,0
2016154__star,1,0,0,0,0,0,0,0,0,0
2016155__star,0,0,0,0,0,1,0,0,0,0
2016156__star,0,0,0,1,0,0,0,0,0,0
2016157__star,0,0,0,0,0,0,0,1,0,0
2017001__star,0,0,0,0,1,0,0,0,0,0
2017002__star,0,0,0,0,0,0,1,0,0,0
2017003__star,0,0,0,0,0,0,0,1,0,0
2017004__star,0,0,0,0,0,0,1,0,0,0
2017005__star,0,0,1,0,0,0,0,0,0,0
2017006__star,1,0,0,0,0,0,0,0,0,0
2017007__star,0,0,0,0,1,0,0,0,0,0
2017008__star,0,0,0,1,0,0,0,0,0,0
2017009__star,0,0,0,0,0,1,0,0,0,0
2017010__star,0,0,0,0,0,0,0,0,1,0
2017011__star,0,1,0,0,0,0,0,0,0,0
2017012__star,0,0,0,0,1,0,0,0,0,0
2017013__star,0,0,0,1,0,0,0,0,0,0
2017014__star,0,0,0,0,0,0,1,0,0,0
2017015__star,0,0,0,0,0,0,1,0,0,0
2017016__star,0,1,0,0,0,0,0,0,0,0
2017017__star,0,0,0,0,0,1,0,0,0,0
2017018__star,0,0,1,0,0,0,0,0,0,0
2017019__star,0,0,1,0,0,0,0,0,0,0
2017020__star,0,0,0,0,0,0,0,0,0,1
2017021__star,0,0,0,1,0,0,0,0,0,0
2017022__star,0,0,0,0,0,0,0,0,0,1
2017023__star,0,0,0,0,0,0,0,0,0,1
2017024__star,0,1,0,0,0,0,0,0,0,0
2017025__star,0,0,0,0,1,0,0,0,0,0
2017026__star,0,0,0,0,1,0,0,0,0,0
2017027__star,0,0,0,1,0,0,0,0,0,0
2017028__star,0,0,0,0,0,0,0,0,1,0
2017029__star,0,1,0,0,0,0,0,0,0,0
2017030__star,0,0,0,0,0,0,1,0,0,0
2017031__star,0,0,1,0,0,0,0,0,0,0
2017032__star,0,0,0,0,0,0,0,1,0,0
2017033__star,0,1,0,0,0,0,0,0,0,0
2017034__star,1,0,0,0,0,0,0,0,0,0
2017035__star,0,0,0,0,1,0,0,0,0,0
2017036__star,1,0,0,0,0,0,0,0,0,0
2017037__star,0,0,0,0,0,0,0,1,0,0
2017038__star,0,0,0,0,1,0,0,0,0,0
2017039__star,0,0,0,0,0,0,0,0,1,0
2017040__star,0,0,1,0,0,0,0,0,0,0
2017041__star,0,0,0,0,0,0,0,0,0,1
2017042__star,0,0,0,0,1,0,0,0,0,0
2017043__star,0,1,0,0,0,0,0,0,0,0
2017044__star,0,0,0,0,0,0,1,0,0,0
2017045__star,0,0,0,0,1,0,0,0,0,0
2017046__star,0,0,0,0,0,0,1,0,0,0
2017047__star,0,0,0,0,0,0,0,0,1,0
2017048__star,0,0,0,0,1,0,0,0,0,0
2017049__star,0,0,0,0,0,0,0,0,1,0
2017050__star,0,0,0,0,1,0,0,0,0,0
2017051__star,0,0,0,0,0,0,0,0,1,0
2017052__star,0,0,0,0,0,1,0,0,0,0
2017053__star,0,0,1,0,0,0,0,0,0,0
2017054__star,0,0,0,0,1,0,0,0,0,0
2017055__star,0,0,0,0,0,1,0,0,0,0
2017056__star,0,0,0,0,0,0,0,0,1,0
2017057__star,0,0,0,0,0,0,0,0,0,1
2017058__star,1,0,0,0,0,0,0,0,0,0
2017059__star,0,0,0,0,0,0,1,0,0,0
2017060__star,0,0,1,0,0,0,0,0,0,0
2017061__star,0,0,0,0,0,0,0,0,0,1
2017062__star,0,0,0,0,1,0,0,0,0,0
2017063__star,0,0,0,0,0,0,0,1,0,0
2017064__star,0,0,0,0,0,0,0,0,1,0
2017065__star,1,0,0,0,0,0,0,0,0,0
2017066__star,0,0,1,0,0,0,0,0,0,0
2017067__star,0,0,0,0,0,0,1,0,0,0
2017068__star,0,0,0,0,1,0,0,0,0,0
2017069__star,0,0,0,0,0,0,0,0,0,1
2017070__star,0,0,0,0,1,0,0,0,0,0
2017071__star,0,0,0,0,1,0,0,0,0,0
2017072__star,0,0,1,0,0,0,0,0,0,0
2017073__star,0,0,0,0,0,0,0,0,1,0
2017074__star,0,0,0,0,0,1,0,0,0,0
2017075__star,0,0,0,0,1,0,0,0,0,0
2017076__star,0,0,0,0,0,0,0,0,1,0
2017077__star,1,0,0,0,0,0,0,0,0,0
2017078__star,0,0,0,0,0,0,0,1,0,0
2017079__star,0,1,0,0,0,0,0,0,0,0
2017080__star,0,0,0,0,0,1,0,0,0,0
2017081__star,0,0,0,0,0,0,0,0,0,1
2017082__star,0,0,0,1,0,0,0,0,0,0
2017083__star,0,0,0,0,1,0,0,0,0,0
2017084__star,0,1,0,0,0,0,0,0,0,0
2017085__star,0,1,0,0,0,0,0,0,0,0
2017086__star,0,0,0,0,0,0,1,0,0,0
2017087__star,0,0,0,0,0,0,0,0,1,0
2017088__star,0,0,1,0,0,0,0,0,0,0
2017089__star,0,1,0,0,0,0,0,0,0,0
2017090__star,1,0,0,0,0,0,0,0,0,0
2017091__star,0,0,0,0,0,0,1,0,0,0
2017092__star,0,0,0,0,0,0,1,0,0,0
2017093__star,0,1,0,0,0,0,0,0,0,0
2017094__star,0,0,0,1,0,0,0,0,0,0
2017095__star,1,0,0,0,0,0,0,0,0,0
2017096__star,0,0,0,0,0,0,0,0,0,1
2017097__star,0,0,0,1,0,0,0,0,0,0
2017098__star,0,0,0,1,0,0,0,0,0,0
2017099__star,0,0,0,0,0,0,1,0,0,0
2017100__star,0,0,0,0,1,0,0,0,0,0
2017101__star,0,0,0,0,0,0,1,0,0,0
2017102__star,0,0,1,0,0,0,0,0,0,0
2017103__star,0,0,0,0,0,1,0,0,0,0
2017104__star,0,0,0,0,0,0,0,0,1,0
2017105__star,0,0,0,0,0,0,1,0,0,0
2017106__star,0,0,0,0,0,0,0,0,1,0
2017107__star,0,0,0,1,0,0,0,0,0,0
2017108__star,1,0,0,0,0,0,0,0,0,0
2017109__star,0,0,0,0,0,0,0,0,1,0
2017110__star,1,0,0,0,0,0,0,0,0,0
2017111__star,0,0,0,0,1,0,0,0,0,0
2017112__star,0,0,0,0,0,0,0,0,1,0
2017113__star,0,0,0,0,0,1,0,0,0,0
2017114__star,0,0,0,1,0,0,0,0,0,0
2017115__star,0,0,0,0,0,1,0,0,0,0
2017116__star,0,0,0,1,0,0,0,0,0,0
2017117__star,0,0,0,0,0,0,1,0,0,0
2017118__star,0,0,0,0,0,0,1,0,0,0
2017119__star,0,0,0,0,0,0,0,0,1,0
2017120__star,0,0,1,0,0,0,0,0,0,0
2017121__star,0,0,0,0,0,0,0,0,1,0
2017122__star,0,0,0,1,0,0,0,0,0,0
2017123__star,0,0,1,0,0,0,0,0,0,0
2017124__star,0,0,0,0,0,0,0,1,0,0
2017125__star,0,0,0,0,0,0,1,0,0,0
2017126__star,0,0,0,0,0,0,0,1,0,0
2017127__star,0,0,1,0,0,0,0,0,0,0
2017128__star,0,0,0,0,0,0,0,1,0,0
2017129__star,0,0,0,0,0,0,0,1,0,0
2017130__star,0,0,0,0,1,0,0,0,0,0
2017131__star,1,0,0,0,0,0,0,0,0,0
2017132__star,0,0,0,0,0,0,1,0,0,0
2017133__star,1,0,0,0,0,0,0,0,0,0
2017134__star,0,0,0,0,1,0,0,0,0,0
2017135__star,0,0,1,0,0,0,0,0,0,0
2017136__star,0,0,0,0,1,0,0,0,0,0
2017137__star,0,0,0,0,0,1,0,0,0,0
2017138__star,1,0,0,0,0,0,0,0,0,0
2017139__star,0,0,1,0,0,0,0,0,0,0
2017140__star,0,0,0,0,0,0,0,1,0,0
2017141__star,0,0,0,0,0,0,0,0,0,1
2017142__star,0,0,0,0,0,1,0,0,0,0
2017143__star,0,0,0,1,0,0,0,0,0,0
2017144__star,1,0,0,0,0,0,0,0,0,0
2017145__star,0,0,0,0,0,0,0,1,0,0
2017146__star,1,0,0,0,0,0,0,0,0,0
2017147__star,0,0,0,0,0,0,0,1,0,0
2017148__star,0,0,0,1,0,0,0,0,0,0
2017149__star,0,0,0,0,0,0,0,1,0,0
2017150__star,0,0,0,0,0,1,0,0,0,0
2017151__star,0,0,0,0,0,0,0,0,1,0
2017152__star,0,0,0,0,0,0,0,0,1,0
2017153__star,0,0,0,0,0,0,0,0,0,1
2017154__star,0,0,0,0,0,0,0,1,0,0
2017155__star,0,0,0,0,0,0,0,1,0,0
2017156__star,0,0,0,0,0,0,0,1,0,0
2018001__star,1,0,0,0,0,0,0,0,0,0
2018002__star,0,0,0,1,0,0,0,0,0,0
2018003__star,0,0,0,0,0,0,0,0,1,0
2018004__star,0,1,0,0,0,0,0,0,0,0
2018005__star,0,0,1,0,0,0,0,0,0,0
2018006__star,0,0,0,0,0,0,0,0,0,1
2018007__star,0,1,0,0,0,0,0,0,0,0
2018008__star,0,0,1,0,0,0,0,0,0,0
2018009__star,0,0,0,0,0,0,1,0,0,0
2018010__star,0,1,0,0,0,0,0,0,0,0
2018011__star,0,0,0,0,1,0,0,0,0,0
2018012__star,0,0,0,0,0,0,0,0,0,1
2018013__star,0,0,0,0,0,1,0,0,0,0
2018014__star,1,0,0,0,0,0,0,0,0,0
2018015__star,0,0,0,1,0,0,0,0,0,0
2018016__star,0,0,0,0,0,0,1,0,0,0
2018017__star,0,0,1,0,0,0,0,0,0,0
2018018__star,0,0,0,0,1,0,0,0,0,0
2018019__star,0,0,0,0,0,0,0,0,1,0
2018020__star,0,0,0,1,0,0,0,0,0,0
2018021__star,0,0,0,0,0,0,0,0,1,0
2018022__star,0,1,0,0,0,0,0,0,0,0
2018023__star,1,0,0,0,0,0,0,0,0,0
2018024__star,0,0,1,0,0,0,0,0,0,0
2018025__star,0,0,1,0,0,0,0,0,0,0
2018026__star,0,0,0,0,0,0,1,0,0,0
2018027__star,0,0,0,0,0,0,0,0,1,0
2018028__star,0,0,0,0,0,0,0,0,1,0
2018029__star,0,0,0,0,1,0,0,0,0,0
2018030__star,0,0,0,0,0,1,0,0,0,0
2018031__star,0,0,0,0,0,0,0,1,0,0
2018032__star,0,0,0,0,0,0,0,0,0,1
2018033__star,0,0,0,0,0,0,0,0,1,0
2018034__star,0,0,0,0,0,0,0,0,0,1
2018035__star,0,1,0,0,0,0,0,0,0,0
2018036__star,0,0,0,0,0,0,0,0,1,0
2018037__star,0,0,0,0,0,0,0,0,0,1
2018038__star,0,0,0,0,0,0,0,0,0,1
2018039__star,0,0,0,0,0,0,0,1,0,0
2018040__star,0,1,0,0,0,0,0,0,0,0
2018041__star,0,0,0,0,0,1,0,0,0,0
2018042__star,0,0,0,0,0,0,1,0,0,0
2018043__star,0,0,0,0,0,1,0,0,0,0
2018044__star,0,0,0,0,0,0,0,1,0,0
2018045__star,0,0,0,0,0,0,1,0,0,0
2018046__star,0,0,0,0,1,0,0,0,0,0
2018047__star,0,0,0,0,0,0,0,1,0,0
2018048__star,0,0,0,0,1,0,0,0,0,0
2018049__star,0,0,0,0,0,0,0,1,0,0
2018050__star,1,0,0,0,0,0,0,0,0,0
2018051__star,0,1,0,0,0,0,0,0,0,0
2018052__star,0,0,0,0,0,0,1,0,0,0
2018053__star,0,0,0,0,0,0,0,0,0,1
2018054__star,0,0,0,0,1,0,0,0,0,0
2018055__star,0,0,0,0,0,1,0,0,0,0
2018056__star,0,0,0,0,0,1,0,0,0,0
2018057__star,0,0,0,0,0,0,0,0,0,1
2018058__star,0,0,0,0,0,0,0,1,0,0
2018059__star,0,0,0,0,0,0,0,1,0,0
2018060__star,0,0,0,0,0,0,0,0,1,0
2018061__star,0,0,0,0,1,0,0,0,0,0
2018062__star,0,0,0,0,0,0,0,0,1,0
2018063__star,0,0,0,0,0,0,0,1,0,0
2018064__star,0,0,0,0,0,0,0,0,0,1
2018065__star,0,0,0,0,0,1,0,0,0,0
2018066__star,0,0,0,1,0,0,0,0,0,0
2018067__star,0,1,0,0,0,0,0,0,0,0
2018068__star,0,1,0,0,0,0,0,0,0,0
2018069__star,0,0,0,0,0,0,0,0,0,1
2018070__star,0,0,0,1,0,0,0,0,0,0
2018071__star,1,0,0,0,0,0,0,0,0,0
2018072__star,0,0,0,0,0,0,0,0,1,0
2018073__star,0,0,0,0,0,0,0,1,0,0
2018074__star,0,0,1,0,0,0,0,0,0,0
2018075__star,0,0,0,0,0,0,0,0,0,1
2018076__star,0,0,0,0,1,0,0,0,0,0
2018077__star,0,0,0,0,0,0,0,0,0,1
2018078__star,0,0,0,0,0,0,1,0,0,0
2018079__star,0,0,0,0,0,0,0,1,0,0
2018080__star,0,0,0,0,1,0,0,0,0,0
2018081__star,0,0,0,0,0,0,0,0,0,1
2018082__star,1,0,0,0,0,0,0,0,0,0
2018083__star,0,0,0,1,0,0,0,0,0,0
2018084__star,0,0,1,0,0,0,0,0,0,0
2018085__star,1,0,0,0,0,0,0,0,0,0
2018086__star,0,0,0,0,0,0,1,0,0,0
2018087__star,0,0,0,0,0,0,0,0,0,1
2018088__star,0,0,0,0,0,1,0,0,0,0
2018089__star,0,0,1,0,0,0,0,0,0,0
2018090__star,0,0,0,0,0,0,0,0,0,1
2018091__star,0,1,0,0,0,0,0,0,0,0
2018092__star,0,0,0,1,0,0,0,0,0,0
2018093__star,0,0,1,0,0,0,0,0,0,0
2018094__star,0,0,0,0,0,1,0,0,0,0
2018095__star,0,0,0,0,0,0,0,1,0,0
2018096__star,0,0,0,0,1,0,0,0,0,0
2018097__star,0,0,0,0,0,1,0,0,0,0
2018098__star,0,0,0,0,0,0,0,1,0,0
2018099__star,0,0,0,0,0,0,0,1,0,0
2018100__star,0,0,0,0,0,0,0,0,0,1
2018101__star,0,0,1,0,0,0,0,0,0,0
2018102__star,0,0,1,0,0,0,0,0,0,0
2018103__star,0,1,0,0,0,0,0,0,0,0
2018104__star,1,0,0,0,0,0,0,0,0,0
2018105__star,0,0,0,0,0,1,0,0,0,0
2018106__star,0,0,0,0,0,0,0,0,0,1
2018107__star,1,0,0,0,0,0,0,0,0,0
2018108__star,0,0,0,0,0,0,0,0,0,1
2018109__star,0,0,0,0,0,0,0,0,0,1
2018110__star,0,0,0,0,0,0,0,0,1,0
2018111__star,0,0,0,0,1,0,0,0,0,0
2018112__star,0,0,0,0,1,0,0,0,0,0
2018113__star,0,0,0,0,1,0,0,0,0,0
2018114__star,0,0,0,0,0,0,0,0,1,0
2018115__star,0,0,1,0,0,0,0,0,0,0
2018116__star,0,0,1,0,0,0,0,0,0,0
2018117__star,0,0,0,1,0,0,0,0,0,0
2018118__star,0,0,0,1,0,0,0,0,0,0
2018119__star,0,0,0,0,0,0,0,1,0,0
2018120__star,0,0,0,0,0,0,0,0,1,0
2018121__star,0,1,0,0,0,0,0,0,0,0
2018122__star,0,0,1,0,0,0,0,0,0,0
2018123__star,0,0,0,0,0,0,0,1,0,0
2018124__star,0,0,0,0,1,0,0,0,0,0
2018125__star,1,0,0,0,0,0,0,0,0,0
2018126__star,0,0,0,0,0,0,0,1,0,0
2018127__star,0,0,0,0,0,1,0,0,0,0
2018128__star,0,0,0,0,0,1,0,0,0,0
2018129__star,0,0,0,0,0,0,0,0,1,0
2018130__star,0,0,0,0,0,0,1,0,0,0
2018131__star,0,0,0,1,0,0,0,0,0,0
2018132__star,0,1,0,0,0,0,0,0,0,0
2018133__star,0,0,0,0,0,0,0,1,0,0
2018134__star,0,0,0,0,0,0,0,1,0,0
2018135__star,0,0,0,0,0,0,1,0,0,0
2018136__star,0,0,0,0,0,0,1,0,0,0
2018137__star,0,0,0,0,1,0,0,0,0,0
2018138__star,0,0,0,0,0,0,1,0,0,0
2018139__star,0,0,0,0,0,0,1,0,0,0
2018140__star,0,0,0,0,0,0,0,0,0,1
2018141__star,0,0,0,0,1,0,0,0,0,0
2018142__star,0,1,0,0,0,0,0,0,0,0
2018143__star,0,0,0,0,0,1,0,0,0,0
2018144__star,0,1,0,0,0,0,0,0,0,0
2018145__star,0,0,0,0,1,0,0,0,0,0
2018146__star,0,0,0,0,0,0,0,0,1,0
2018147__star,0,0,0,0,0,0,0,1,0,0
2018148__star,0,0,0,0,0,0,0,0,0,1
2018149__star,0,0,0,0,1,0,0,0,0,0
2018150__star,0,0,0,0,0,1,0,0,0,0
2018151__star,0,0,0,0,0,0,0,0,1,0
2018152__star,0,0,1,0,0,0,0,0,0,0
2018153__star,0,0,0,0,1,0,0,0,0,0
2018154__star,0,1,0,0,0,0,0,0,0,0
2018155__star,0,0,0,0,0,0,0,0,0,1
2018156__star,0,0,0,0,1,0,0,0,0,0
2018157__star,0,0,0,0,0,0,0,0,0,1
2019001__star,0,0,0,0,0,0,1,0,0,0
2019002__star,0,0,0,0,0,0,1,0,0,0
2019003__star,0,0,0,0,0,0,0,0,0,1
2019004__star,0,0,0,0,0,0,0,0,0,1
2019005__star,0,0,0,0,0,0,0,1,0,0
2019006__star,0,0,0,0,0,0,0,0,0,1
2019007__star,0,0,1,0,0,0,0,0,0,0
2019008__star,0,0,0,0,0,0,1,0,0,0
2019009__star,0,0,0,0,0,1,0,0,0,0
2019010__star,0,0,0,0,0,0,0,0,0,1
2019011__star,0,1,0,0,0,0,0,0,0,0
2019012__star,0,0,0,0,0,1,0,0,0,0
2019013__star,0,0,0,0,0,0,0,0,1,0
2019014__star,0,0,1,0,0,0,0,0,0,0
2019015__star,1,0,0,0,0,0,0,0,0,0
2019016__star,0,0,0,0,0,0,0,0,0,1
2019017__star,0,0,0,0,0,0,0,0,1,0
2019018__star,0,0,0,0,1,0,0,0,0,0
2019019__star,0,0,1,0,0,0,0,0,0,0
2019020__star,0,0,0,0,0,0,1,0,0,0
2019021__star,0,0,0,0,0,0,0,0,1,0
2019022__star,1,0,0,0,0,0,0,0,0,0
2019023__star,0,0,0,0,1,0,0,0,0,0
2019024__star,0,0,0,0,0,0,1,0,0,0
2019025__star,0,1,0,0,0,0,0,0,0,0
2019026__star,0,0,0,0,0,0,0,0,1,0
2019027__star,0,1,0,0,0,0,0,0,0,0
2019028__star,0,0,0,0,1,0,0,0,0,0
2019029__star,0,0,0,0,0,0,0,0,0,1
2019030__star,1,0,0,0,0,0,0,0,0,0
2019031__star,0,0,1,0,0,0,0,0,0,0
2019032__star,1,0,0,0,0,0,0,0,0,0
2019033__star,0,0,0,0,0,1,0,0,0,0
2019034__star,0,0,0,0,0,0,0,1,0,0
2019035__star,0,0,0,0,0,1,0,0,0,0
2019036__star,0,1,0,0,0,0,0,0,0,0
2019037__star,1,0,0,0,0,0,0,0,0,0
2019038__star,0,0,1,0,0,0,0,0,0,0
2019039__star,0,0,0,0,0,0,0,0,0,1
2019040__star,0,0,1,0,0,0,0,0,0,0
2019041__star,0,0,0,0,0,0,1,0,0,0
2019042__star,0,0,0,0,0,0,0,0,1,0
2019043__star,0,0,0,0,1,0,0,0,0,0
2019044__star,0,0,0,0,0,0,0,1,0,0
2019045__star,0,0,0,0,0,1,0,0,0,0
2019046__star,0,0,1,0,0,0,0,0,0,0
2019047__star,0,0,1,0,0,0,0,0,0,0
2019048__star,0,0,0,0,0,0,1,0,0,0
2019049__star,0,0,1,0,0,0,0,0,0,0
2019050__star,0,1,0,0,0,0,0,0,0,0
2019051__star,0,1,0,0,0,0,0,0,0,0
2019052__star,0,0,0,0,0,0,0,1,0,0
2019053__star,0,0,0,0,0,0,0,0,1,0
2019054__star,0,0,1,0,0,0,0,0,0,0
2019055__star,0,0,0,0,1,0,0,0,0,0
2019056__star,0,1,0,0,0,0,0,0,0,0
2019057__star,0,0,0,1,0,0,0,0,0,0
2019058__star,1,0,0,0,0,0,0,0,0,0
2019059__star,0,0,0,0,1,0,0,0,0,0
2019060__star,1,0,0,0,0,0,0,0,0,0
2019061__star,1,0,0,0,0,0,0,0,0,0
2019062__star,0,0,0,0,0,0,0,0,0,1
2019063__star,0,0,0,0,0,0,0,0,1,0
2019064__star,0,1,0,0,0,0,0,0,0,0
2019065__star,0,0,1,0,0,0,0,0,0,0
2019066__star,1,0,0,0,0,0,0,0,0,0
